"id","title","price","permalink","brand","line","model","processor","storage","memory","condition"
"MLA1407518009","Samsung Zflip 5 512gb Liberado",1599999,"https://articulo.mercadolibre.com.ar/MLA-1407518009-samsung-zflip-5-512gb-liberado-_JM","Samsung","Galaxy","Z Flip5","Snapdragon","512 GB","8 GB","used"
"MLA1418335697","Samsung S23 Ultra 512gb",1499000,"https://articulo.mercadolibre.com.ar/MLA-1418335697-samsung-s23-ultra-512gb-_JM","Samsung","Galaxy","S23 Ultra","Snapdragon 8 Gen 2","512 GB","12 GB","used"
"MLA1418546201","Celular Very Perry Motorola 30 Neo",333333,"https://articulo.mercadolibre.com.ar/MLA-1418546201-celular-very-perry-motorola-30-neo-_JM","Motorola","Edge","30","Snapdragon 778G+ 5G","128 GB","8 GB","used"
"MLA1420994143","Celular S22 Ultra De 256 Gb Y 10 De Ram ...impecable",1200000,"https://articulo.mercadolibre.com.ar/MLA-1420994143-celular-s22-ultra-de-256-gb-y-10-de-ram-impecable-_JM","Samsung","Galaxy S","S22 Ultra 5G (Snapdragon)","Snapdragon 8 Gen 1","256 GB","12 GB","used"
"MLA1681623550","Motorola Edge 20 Pro Caja, Cargador Y Cable Hdmi +2funda",400000,"https://articulo.mercadolibre.com.ar/MLA-1681623550-motorola-edge-20-pro-caja-cargador-y-cable-hdmi-2funda-_JM","Motorola","Edge","20 Pro","Snapdragon 870","256 GB","12 GB","used"
"MLA1421922091","Celular Motorola Edge 20 Pro 256gb",345000,"https://articulo.mercadolibre.com.ar/MLA-1421922091-celular-motorola-edge-20-pro-256gb-_JM","Motorola","Edge","20 Pro","Snapdragon 870","256 GB","12 GB","used"
"MLA1692612436","Celular Motorola Rarz 40 Ultra",850000,"https://articulo.mercadolibre.com.ar/MLA-1692612436-celular-motorola-rarz-40-ultra-_JM","Motorola","CELULAR","Rarz 40 ultra","None","512 GB","512 GB","used"
"MLA1728131580","Motorola Edge 20 Pro",475000,"https://articulo.mercadolibre.com.ar/MLA-1728131580-motorola-edge-20-pro-_JM","Motorola","Edge","20 Pro","Snapdragon 870","256 GB","12 GB","used"
"MLA1412983751","Celular Moto Edge 30 Fusion ",300000,"https://articulo.mercadolibre.com.ar/MLA-1412983751-celular-moto-edge-30-fusion-_JM","Motorola","Edge","Edge 30 Fusion","None","256 GB","12 GB","used"
"MLA1737744094","Motorola G54, 128gb, 8gb De Ram ",310000,"https://articulo.mercadolibre.com.ar/MLA-1737744094-motorola-g54-128gb-8gb-de-ram-_JM","Motorola","Moto G","G54 5G","MediaTek Dimensity 7020","128 GB","8 GB","used"
"MLA1414015983","Motorola Edge 30 Ultra Precio Actualizado!!! Hasta 20/04",550000,"https://articulo.mercadolibre.com.ar/MLA-1414015983-motorola-edge-30-ultra-precio-actualizado-hasta-2004-_JM","Motorola","Edge","30 Ultra","Snapdragon 8+ Gen 1","256 GB","12 GB","used"
"MLA1419336911","Celular Moto Edge 20pro - Motorola",650000,"https://articulo.mercadolibre.com.ar/MLA-1419336911-celular-moto-edge-20pro-motorola-_JM","Motorola","Edge","20 Pro","Snapdragon 870","256 GB","12 GB","used"
"MLA1421503591","Moto G23",260000,"https://articulo.mercadolibre.com.ar/MLA-1421503591-moto-g23-_JM","Motorola","Moto G","G23","None","128 GB","8 GB","used"
"MLA1418661855","Motorola G84 5g ",400000,"https://articulo.mercadolibre.com.ar/MLA-1418661855-motorola-g84-5g-_JM","Motorola","Moto","G84 5G","Snapdragon 695","256 GB","8 GB","used"
"MLA1731385758","Moto G200 5g 128 Gb Morado Espejo 8 Gb Ram Usado Excelente",315000,"https://articulo.mercadolibre.com.ar/MLA-1731385758-moto-g200-5g-128-gb-morado-espejo-8-gb-ram-usado-excelente-_JM","Motorola","Moto G","G200 5G","Snapdragon 888+ 5G","128 GB","8 GB","used"
"MLA1734178674","Motorola G13",210000,"https://articulo.mercadolibre.com.ar/MLA-1734178674-motorola-g13-_JM","Motorola","Moto","G13","Unisoc T606","128 GB","8 GB","used"
